1F3F2 ; [.1275.0020.0002] # BLACK PENNANT
1F3F3 ; [.1276.0020.0002] # WAVING WHITE FLAG
1F3F4 ; [.1277.0020.0002] # WAVING BLACK FLAG
1F3F5 ; [.1278.0020.0002] # ROSETTE
1F3F6 ; [.1279.0020.0002] # BLACK ROSETTE
1F3F7 ; [.127A.0020.0002] # LABEL
1F3F8 ; [.127B.0020.0002] # BADMINTON RACQUET AND SHUTTLECOCK
1F3F9 ; [.127C.0020.0002] # BOW AND ARROW
1F3FA ; [.127D.0020.0002] # AMPHORA
1F3FB ; [.127E.0020.0002] # EMOJI MODIFIER FITZPATRICK TYPE-1-2
1F3FC ; [.127F.0020.0002] # EMOJI MODIFIER FITZPATRICK TYPE-3
1F3FD ; [.1280.0020.0002] # EMOJI MODIFIER FITZPATRICK TYPE-4
1F3FE ; [.1281.0020.0002] # EMOJI MODIFIER FITZPATRICK TYPE-5
1F3FF ; [.1282.0020.0002] # EMOJI MODIFIER FITZPATRICK TYPE-6
1F400 ; [.1283.0020.0002] # RAT
1F401 ; [.1284.0020.0002] # MOUSE
1F402 ; [.1285.0020.0002] # OX
1F403 ; [.1286.0020.0002] # WATER BUFFALO
1F404 ; [.1287.0020.0002] # COW
1F405 ; [.1288.0020.0002] # TIGER
1F406 ; [.1289.0020.0002] # LEOPARD
1F407 ; [.128A.0020.0002] # RABBIT
1F408 ; [.128B.0020.0002] # CAT
1F409 ; [.128C.0020.0002] # DRAGON
1F40A ; [.128D.0020.0002] # CROCODILE
1F40B ; [.128E.0020.0002] # WHALE
1F40C ; [.128F.0020.0002] # SNAIL
1F40D ; [.1290.0020.0002] # SNAKE
1F40E ; [.1291.0020.0002] # HORSE
1F40F ; [.1292.0020.0002] # RAM
1F410 ; [.1293.0020.0002] # GOAT
1F411 ; [.1294.0020.0002] # SHEEP
1F412 ; [.1295.0020.0002] # MONKEY
1F413 ; [.1296.0020.0002] # ROOSTER
1F414 ; [.1297.0020.0002] # CHICKEN
1F415 ; [.1298.0020.0002] # DOG
1F416 ; [.1299.0020.0002] # PIG
1F417 ; [.129A.0020.0002] # BOAR
1F418 ; [.129B.0020.0002] # ELEPHANT
1F419 ; [.129C.0020.0002] # OCTOPUS
1F41A ; [.129D.0020.0002] # SPIRAL SHELL
1F41B ; [.129E.0020.0002] # BUG
1F41C ; [.129F.0020.0002] # ANT
1F41D ; [.12A0.0020.0002] # HONEYBEE
1F41E ; [.12A1.0020.0002] # LADY BEETLE
1F41F ; [.12A2.0020.0002] # FISH
1F420 ; [.12A3.0020.0002] # TROPICAL FISH
1F421 ; [.12A4.0020.0002] # BLOWFISH
1F422 ; [.12A5.0020.0002] # TURTLE
1F423 ; [.12A6.0020.0002] # HATCHING CHICK
1F424 ; [.12A7.0020.0002] # BABY CHICK
1F425 ; [.12A8.0020.0002] # FRONT-FACING BABY CHICK
1F426 ; [.12A9.0020.0002] # BIRD
1F427 ; [.12AA.0020.0002] # PENGUIN
1F428 ; [.12AB.0020.0002] # KOALA
1F429 ; [.12AC.0020.0002] # POODLE
1F42A ; [.12AD.0020.0002] # DROMEDARY CAMEL
1F42B ; [.12AE.0020.0002] # BACTRIAN CAMEL
1F42C ; [.12AF.0020.0002] # DOLPHIN
1F42D ; [.12B0.0020.0002] # MOUSE FACE
1F42E ; [.12B1.0020.0002] # COW FACE
1F42F ; [.12B2.0020.0002] # TIGER FACE
1F430 ; [.12B3.0020.0002] # RABBIT FACE
1F431 ; [.12B4.0020.0002] # CAT FACE
1F432 ; [.12B5.0020.0002] # DRAGON FACE
1F433 ; [.12B6.0020.0002] # SPOUTING WHALE
1F434 ; [.12B7.0020.0002] # HORSE FACE
1F435 ; [.12B8.0020.0002] # MONKEY FACE
1F436 ; [.12B9.0020.0002] # DOG FACE
1F437 ; [.12BA.0020.0002] # PIG FACE
1F438 ; [.12BB.0020.0002] # FROG FACE
1F439 ; [.12BC.0020.0002] # HAMSTER FACE
1F43A ; [.12BD.0020.0002] # WOLF FACE
1F43B ; [.12BE.0020.0002] # BEAR FACE
1F43C ; [.12BF.0020.0002] # PANDA FACE
1F43D ; [.12C0.0020.0002] # PIG NOSE
1F43E ; [.12C1.0020.0002] # PAW PRINTS
1F43F ; [.12C2.0020.0002] # CHIPMUNK
1F440 ; [.12C3.0020.0002] # EYES
1F441 ; [.12C4.0020.0002] # EYE
1F442 ; [.12C5.0020.0002] # EAR
1F443 ; [.12C6.0020.0002] # NOSE
1F444 ; [.12C7.0020.0002] # MOUTH
1F445 ; [.12C8.0020.0002] # TONGUE
1F446 ; [.12C9.0020.0002] # WHITE UP POINTING BACKHAND INDEX
1F447 ; [.12CA.0020.0002] # WHITE DOWN POINTING BACKHAND INDEX
1F448 ; [.12CB.0020.0002] # WHITE LEFT POINTING BACKHAND INDEX
1F449 ; [.12CC.0020.0002] # WHITE RIGHT POINTING BACKHAND INDEX
1F44A ; [.12CD.0020.0002] # FISTED HAND SIGN
1F44B ; [.12CE.0020.0002] # WAVING HAND SIGN
1F44C ; [.12CF.0020.0002] # OK HAND SIGN
1F44D ; [.12D0.0020.0002] # THUMBS UP SIGN
1F44E ; [.12D1.0020.0002] # THUMBS DOWN SIGN
1F44F ; [.12D2.0020.0002] # CLAPPING HANDS SIGN
1F450 ; [.12D3.0020.0002] # OPEN HANDS SIGN
1F451 ; [.12D4.0020.0002] # CROWN
1F452 ; [.12D5.0020.0002] # WOMANS HAT
1F453 ; [.12D6.0020.0002] # EYEGLASSES
1F454 ; [.12D7.0020.0002] # NECKTIE
1F455 ; [.12D8.0020.0002] # T-SHIRT
1F456 ; [.12D9.0020.0002] # JEANS
1F457 ; [.12DA.0020.0002] # DRESS
1F458 ; [.12DB.0020.0002] # KIMONO
1F459 ; [.12DC.0020.0002] # BIKINI
1F45A ; [.12DD.0020.0002] # WOMANS CLOTHES
1F45B ; [.12DE.0020.0002] # PURSE
1F45C ; [.12DF.0020.0002] # HANDBAG
1F45D ; [.12E0.0020.0002] # POUCH
1F45E ; [.12E1.0020.0002] # MANS SHOE
1F45F ; [.12E2.0020.0002] # ATHLETIC SHOE
1F460 ; [.12E3.0020.0002] # HIGH-HEELED SHOE
1F461 ; [.12E4.0020.0002] # WOMANS SANDAL
1F462 ; [.12E5.0020.0002] # WOMANS BOOTS
1F463 ; [.12E6.0020.0002] # FOOTPRINTS
